Index,Freq,e_real,e_loss,Matrix Mw,Treatment,Cryst_temp,Loading
1,1000000,2.6041,0.01998,4k,Quenched,,0.1
2,794330,2.6065,0.01936,4k,Quenched,,0.1
3,630950,2.6076,0.0186,4k,Quenched,,0.1
4,501180,2.6106,0.01825,4k,Quenched,,0.1
5,398100,2.6137,0.01779,4k,Quenched,,0.1
6,316220,2.616,0.01712,4k,Quenched,,0.1
7,251180,2.6182,0.01656,4k,Quenched,,0.1
8,199520,2.6205,0.0161,4k,Quenched,,0.1
9,158480,2.6228,0.01568,4k,Quenched,,0.1
10,125890,2.6249,0.01534,4k,Quenched,,0.1
11,99996,2.6272,0.01502,4k,Quenched,,0.1
12,79430,2.6294,0.01474,4k,Quenched,,0.1
13,63093,2.6317,0.01451,4k,Quenched,,0.1
14,50116,2.6339,0.01427,4k,Quenched,,0.1
15,39809,2.636,0.01412,4k,Quenched,,0.1
16,31621,2.6381,0.01397,4k,Quenched,,0.1
17,25117,2.6402,0.0138,4k,Quenched,,0.1
18,19951,2.6422,0.01368,4k,Quenched,,0.1
19,15848,2.6443,0.01354,4k,Quenched,,0.1
20,12588,2.6462,0.01345,4k,Quenched,,0.1
21,9999.3,2.6483,0.01338,4k,Quenched,,0.1
22,7942.7,2.6503,0.01331,4k,Quenched,,0.1
23,6309.1,2.6523,0.0133,4k,Quenched,,0.1
24,5011.5,2.6543,0.01326,4k,Quenched,,0.1
25,3980.7,2.6562,0.01329,4k,Quenched,,0.1
26,3162,2.6581,0.01335,4k,Quenched,,0.1
27,2511.6,2.6601,0.01342,4k,Quenched,,0.1
28,1995.1,2.6621,0.01354,4k,Quenched,,0.1
29,1584.7,2.6641,0.01369,4k,Quenched,,0.1
30,1258.8,2.6662,0.01382,4k,Quenched,,0.1
31,999.89,2.6683,0.01403,4k,Quenched,,0.1
32,794.24,2.6704,0.01426,4k,Quenched,,0.1
33,630.88,2.6724,0.01451,4k,Quenched,,0.1
34,501.13,2.6747,0.01479,4k,Quenched,,0.1
35,398.06,2.6767,0.01512,4k,Quenched,,0.1
36,316.19,2.6791,0.01544,4k,Quenched,,0.1
37,251.16,2.6814,0.01577,4k,Quenched,,0.1
38,199.5,2.6839,0.01612,4k,Quenched,,0.1
39,158.47,2.6864,0.01642,4k,Quenched,,0.1
40,125.87,2.689,0.01674,4k,Quenched,,0.1
41,99.986,2.6916,0.01701,4k,Quenched,,0.1
42,79.421,2.695,0.01721,4k,Quenched,,0.1
43,63.086,2.6971,0.01731,4k,Quenched,,0.1
44,50.111,2.6998,0.01744,4k,Quenched,,0.1
45,39.804,2.7024,0.01742,4k,Quenched,,0.1
46,31.618,2.705,0.01737,4k,Quenched,,0.1
47,25.115,2.7077,0.01717,4k,Quenched,,0.1
48,19.949,2.7104,0.01704,4k,Quenched,,0.1
49,15.846,2.7129,0.01679,4k,Quenched,,0.1
50,12.587,2.7153,0.01662,4k,Quenched,,0.1
51,9.9982,2.7177,0.01642,4k,Quenched,,0.1
52,7.9418,2.72,0.01634,4k,Quenched,,0.1
53,6.3084,2.7222,0.01622,4k,Quenched,,0.1
54,5.0109,2.7243,0.01639,4k,Quenched,,0.1
55,3.9803,2.7261,0.0168,4k,Quenched,,0.1
56,3.1616,2.7285,0.01731,4k,Quenched,,0.1
57,2.5114,2.7305,0.01789,4k,Quenched,,0.1
58,1.9949,2.7331,0.01868,4k,Quenched,,0.1
59,1.5846,2.7354,0.02009,4k,Quenched,,0.1
60,1.2587,2.7374,0.02105,4k,Quenched,,0.1
61,0.99978,2.7405,0.02266,4k,Quenched,,0.1
62,0.79415,2.7431,0.02458,4k,Quenched,,0.1
63,0.63082,2.7465,0.0267,4k,Quenched,,0.1
64,0.50107,2.7502,0.02998,4k,Quenched,,0.1
65,0.39802,2.7543,0.03194,4k,Quenched,,0.1
66,0.31615,2.7586,0.03488,4k,Quenched,,0.1
67,0.25113,2.7629,0.03829,4k,Quenched,,0.1
68,0.19948,2.7677,0.04141,4k,Quenched,,0.1
69,0.15845,2.774,0.04607,4k,Quenched,,0.1
70,0.12586,2.7815,0.05134,4k,Quenched,,0.1
71,0.09997,2.7877,0.05645,4k,Quenched,,0.1
72,0.07941,2.7965,0.06153,4k,Quenched,,0.1
73,0.06308,2.8063,0.06766,4k,Quenched,,0.1
74,0.0501,2.8148,0.07457,4k,Quenched,,0.1
75,0.0398,2.825,0.08089,4k,Quenched,,0.1
76,0.03161,2.8384,0.08632,4k,Quenched,,0.1
77,0.02511,2.8536,0.09603,4k,Quenched,,0.1
78,0.01995,2.8713,0.10359,4k,Quenched,,0.1
79,0.01584,2.888,0.11213,4k,Quenched,,0.1
80,0.01259,2.9074,0.12112,4k,Quenched,,0.1
81,0.01,2.9284,0.12821,4k,Quenched,,0.1
82,1000000,2.6472,0.01869,4k,Isothermal,105,0.1
83,794330,2.6494,0.01831,4k,Isothermal,105,0.1
84,630950,2.6505,0.01774,4k,Isothermal,105,0.1
85,501180,2.6536,0.01752,4k,Isothermal,105,0.1
86,398100,2.6567,0.01721,4k,Isothermal,105,0.1
87,316220,2.659,0.01666,4k,Isothermal,105,0.1
88,251180,2.6612,0.01618,4k,Isothermal,105,0.1
